R(x),Decomposable,P(x),Q(x)
31315621259*x**15 + 245196338396*x**14 + 156901791025*x**13 + 36694353071*x**12 - 327928502831*x**11 + 288526285748*x**10 + 2758642821025*x**9 + 313630667725*x**8 + 1807756530058*x**7 + 1957139238705*x**6 - 856198911744*x**5 - 174414483359*x**4 - 595720726579*x**3 + 502047350025*x**2 - 90826271002*x + 75306599415,0,,
37770216121*x**15 + 124352156426*x**14 + 119303715854*x**13 - 669158075543*x**12 + 1951464187811*x**11 - 1630216728312*x**10 - 1367868066745*x**9 - 1526917554222*x**8 - 1097738474366*x**7 + 1218165662835*x**6 - 1041255737407*x**5 + 198723588620*x**4 - 102690564981*x**3 + 829857034521*x**2 - 233743876784*x + 32739691701,0,,
-102389512186*x**15 - 83816205656*x**14 - 158539253742*x**13 - 69704019284*x**12 - 1558716495783*x**11 - 2050174208941*x**10 - 2152862018072*x**9 - 2236923917244*x**8 - 2313231461812*x**7 - 359824641051*x**6 - 2155663867039*x**5 + 435393738061*x**4 + 170533316724*x**3 + 244195799869*x**2 + 28158431683*x - 4182618905,0,,
-33155570366*x**15 - 57040004145*x**14 + 107449045034*x**13 - 857034264901*x**12 + 140582942047*x**11 + 302407629510*x**10 - 1988413261261*x**9 + 924129369063*x**8 - 687991185452*x**7 + 1400298945208*x**6 - 1051341528662*x**5 - 134011896313*x**4 - 369550177143*x**3 + 103277550499*x**2 + 164303079015*x - 57412472949,0,,
-35075137166*x**15 - 151325027191*x**14 - 515022650238*x**13 + 709122221196*x**12 + 106233227287*x**11 - 878423983676*x**10 - 1200376280931*x**9 + 839257231204*x**8 + 389185915296*x**7 - 2338521585396*x**6 + 405912143528*x**5 + 908044311486*x**4 + 242404272154*x**3 - 74130498965*x**2 - 87711459470*x - 24891125561,0,,
101490082691*x**15 - 25447617900*x**14 + 274552110058*x**13 - 490755988148*x**12 - 1925504216255*x**11 + 163606206533*x**10 - 286444425062*x**9 - 3988047744565*x**8 - 304976862425*x**7 - 1389760601520*x**6 - 511733629264*x**5 + 188017093192*x**4 - 672476755868*x**3 - 180462703364*x**2 - 131175724244*x - 34144253097,0,,
27250451278*x**15 + 304833633450*x**14 + 309551805550*x**13 - 107069719881*x**12 + 817681482773*x**11 + 2068733899636*x**10 - 1920303973171*x**9 - 1985762912484*x**8 + 471122924903*x**7 - 863521611778*x**6 - 254950066546*x**5 - 996638384726*x**4 - 462721232732*x**3 - 487480164130*x**2 + 82967775763*x - 30721672261,0,,
52293016289*x**15 + 91132217261*x**14 + 33387936175*x**13 - 49157938712*x**12 + 808530712465*x**11 + 41143064158*x**10 + 897062611417*x**9 - 246826702939*x**8 + 1024804979599*x**7 - 573353365754*x**6 + 277129805040*x**5 - 732452339372*x**4 + 199739402026*x**3 - 206081502486*x**2 - 211508377319*x - 17640181609,0,,
10192219062*x**15 - 135680605939*x**14 - 272392499934*x**13 - 344032393068*x**12 + 323997604457*x**11 - 889909999348*x**10 + 991323144446*x**9 + 320807762531*x**8 + 344657145602*x**7 + 929766628366*x**6 - 476296032897*x**5 + 1284111141383*x**4 + 1078202570967*x**3 + 47763047858*x**2 - 331366714042*x - 6981175716,0,,
32558031735*x**15 - 6400698268*x**14 - 138855430029*x**13 + 304039643015*x**12 + 628992311778*x**11 + 103208645538*x**10 - 1561710611342*x**9 + 1558729663815*x**8 + 953458927116*x**7 + 728994807196*x**6 - 828259886830*x**5 + 1141532735487*x**4 + 350010872756*x**3 - 272441257156*x**2 + 139066640251*x + 45995381268,0,,
183189803464*x**15 - 154697713564*x**14 + 315423274060*x**13 - 1014108851064*x**12 - 1076651159918*x**11 + 511002525396*x**10 + 1065636757651*x**9 + 256938711915*x**8 + 21034089572*x**7 + 5645199016*x**6 + 209433170764*x**5 - 220504563439*x**4 + 392924397781*x**3 - 461348132564*x**2 + 185388690826*x + 22060416648,0,,
-185001854738*x**15 - 76195174010*x**14 + 420332073113*x**13 + 146933172688*x**12 + 883706594929*x**11 + 434776606953*x**10 + 1015229883681*x**9 - 527706299325*x**8 - 417198133470*x**7 - 1775515722281*x**6 - 866117764879*x**5 + 1812774085861*x**4 + 658289460298*x**3 + 240782255506*x**2 - 136908647151*x + 790870123,0,,
-42729815411*x**15 + 69414853039*x**14 - 193610425949*x**13 - 147055670223*x**12 + 1312692801694*x**11 + 865053429052*x**10 + 511613381297*x**9 + 66317122641*x**8 - 1885431037903*x**7 + 1104872734272*x**6 - 1992505570368*x**5 - 737751425958*x**4 - 625212996090*x**3 - 133382434038*x**2 + 350947795489*x + 49149000446,0,,
89761628364*x**15 + 12613166118*x**14 + 17791423778*x**13 - 541569160159*x**12 - 1204852581158*x**11 - 1530368820699*x**10 + 2517368351172*x**9 + 785842304891*x**8 - 696597101778*x**7 + 1832317003833*x**6 - 1206421915884*x**5 - 67116111275*x**4 - 352576712069*x**3 + 107415993236*x**2 + 191023492892*x + 62408568799,0,,
33406517784*x**15 + 63280482797*x**14 + 630577896630*x**13 - 148855856261*x**12 + 458795590299*x**11 - 548198402096*x**10 - 1014480076789*x**9 + 992231265985*x**8 + 1423312430270*x**7 + 647724468450*x**6 + 374493731954*x**5 - 2018612856715*x**4 + 510662855111*x**3 + 333236192699*x**2 - 73583745893*x + 118674128216,0,,
-103102739719*x**15 - 25973414517*x**14 - 101298218764*x**13 + 113237587809*x**12 + 1984199643219*x**11 + 885280491158*x**10 + 791584741307*x**9 + 14364362271*x**8 - 1662167053173*x**7 - 2285790842884*x**6 - 1691671204717*x**5 + 106958748140*x**4 + 317707594674*x**3 - 95010617290*x**2 + 271342361301*x + 52611645570,0,,
106959093600*x**15 - 112379781591*x**14 - 564930043741*x**13 + 264163804991*x**12 + 444448876999*x**11 + 1327063904424*x**10 - 1593216289791*x**9 - 429632254121*x**8 + 1399328248347*x**7 - 1111545848955*x**6 + 465953202630*x**5 + 1766168459942*x**4 + 981110367771*x**3 - 396455682507*x**2 - 525647673192*x + 21368369132,0,,
16239721601*x**15 + 22743866222*x**14 + 227067481437*x**13 - 396100671921*x**12 + 771954519515*x**11 - 238055024180*x**10 + 3412626635020*x**9 + 1118714839978*x**8 - 582808957146*x**7 + 342933513221*x**6 + 103853118694*x**5 + 408270896022*x**4 - 231198061933*x**3 + 49517485823*x**2 + 153739326099*x + 81788465547,0,,
-27687940307*x**15 - 193969336910*x**14 - 15489824684*x**13 + 47421559822*x**12 + 357097633259*x**11 + 1660547338088*x**10 - 181383741474*x**9 - 2463845465851*x**8 + 922339801357*x**7 + 604523231836*x**6 + 145387255619*x**5 - 939418873633*x**4 - 520106247929*x**3 - 832657503715*x**2 + 325356642109*x - 41471680935,0,,
-37778736808*x**15 + 51070083963*x**14 - 149696648152*x**13 - 449780617310*x**12 + 874990030138*x**11 - 1546610674917*x**10 + 1750519053594*x**9 - 1290585435309*x**8 - 216067707023*x**7 - 2996323945577*x**6 - 831173867690*x**5 - 1843116250144*x**4 - 451030674347*x**3 + 37058924600*x**2 - 203234251657*x + 10866444967,0,,
-25059673608*x**15 - 19572955502*x**14 - 79314673142*x**13 - 337290837696*x**12 + 1363499378490*x**11 + 551676068783*x**10 - 337281229863*x**9 - 298382333006*x**8 - 1076145008594*x**7 + 3416364142232*x**6 + 675081607248*x**5 + 1445434106150*x**4 + 591946483700*x**3 - 2332820306*x**2 - 15802182915*x + 57321353192,0,,
2787645495*x**15 + 27701980672*x**14 + 190655978239*x**13 + 375814944916*x**12 + 821405435726*x**11 + 866766568581*x**10 - 786889937838*x**9 - 1176909511932*x**8 - 1578797413633*x**7 + 710315879709*x**6 - 83245479113*x**5 - 1550119035610*x**4 - 1028857092894*x**3 - 569476407167*x**2 - 14691904884*x - 37938338676,0,,
10988532977*x**15 + 232461234599*x**14 - 56958796785*x**13 - 129665715930*x**12 - 105688418577*x**11 + 1688291003882*x**10 - 2279470882088*x**9 - 386746103112*x**8 - 2180425736820*x**7 - 2042833280297*x**6 + 1094433513248*x**5 - 168905317200*x**4 + 717984986481*x**3 + 198426582379*x**2 - 297316095339*x - 62557065528,0,,
-33005405251*x**15 + 149370123051*x**14 - 453393906239*x**13 + 66606272497*x**12 + 913361038841*x**11 - 1982641911796*x**10 + 530205346955*x**9 - 995576620601*x**8 - 759591689874*x**7 - 18569375042*x**6 - 466693526968*x**5 - 451512346336*x**4 + 882340681788*x**3 + 229384613467*x**2 - 67943117636*x + 49935325216,0,,
17262522817*x**15 + 55804001458*x**14 + 816929012692*x**13 + 196339068016*x**12 - 247034252208*x**11 - 464874696524*x**10 - 574417620583*x**9 + 463255450784*x**8 + 770103087344*x**7 + 165738925815*x**6 - 878763336718*x**5 + 115645183804*x**4 + 728921217480*x**3 + 502163542886*x**2 - 210089416168*x - 34850687539,0,,
3831865641*x**15 + 17647008444*x**14 - 333778848788*x**13 + 785755036601*x**12 - 1416144467422*x**11 + 1093926872647*x**10 + 575810157599*x**9 - 1003942951258*x**8 - 1929474614914*x**7 - 424856302662*x**6 - 15406740474*x**5 - 670098514060*x**4 - 691111522402*x**3 - 266434231701*x**2 - 7828508992*x - 54779850327,0,,
17571271376*x**15 - 64980700855*x**14 + 199438608282*x**13 - 754720766905*x**12 - 1471034677456*x**11 - 1498831606900*x**10 + 254506919982*x**9 - 1635325761570*x**8 + 2179220609443*x**7 - 2710178448175*x**6 - 340277699336*x**5 - 593131987018*x**4 - 29900722037*x**3 + 320874633492*x**2 + 14290690348*x - 54478426191,0,,
34589607805*x**15 + 269454328499*x**14 + 301384118974*x**13 + 325157479771*x**12 + 521310663627*x**11 - 682960146109*x**10 + 356956674077*x**9 + 939889151176*x**8 - 788212895449*x**7 - 420711402928*x**6 - 725049648444*x**5 + 1031255158597*x**4 - 180577502798*x**3 - 525766437892*x**2 - 190022848913*x + 37500667243,0,,
41120796283*x**15 + 58543562476*x**14 - 109678122522*x**13 + 264491078986*x**12 + 2324040887278*x**11 - 478630607341*x**10 - 2691454774257*x**9 + 1065516256004*x**8 - 178234675207*x**7 + 362960101051*x**6 - 2042020391273*x**5 - 1449095055574*x**4 + 464244101167*x**3 + 73502558943*x**2 - 259438460363*x + 27470692877,0,,
-10569166507*x**15 - 181473651959*x**14 - 454724604545*x**13 + 320239024108*x**12 + 281187349313*x**11 - 1380016733431*x**10 - 1361038371696*x**9 + 2311988325636*x**8 - 2766946709947*x**7 + 1765160536995*x**6 + 1327013312906*x**5 + 351075526936*x**4 - 1072506510305*x**3 - 838725170*x**2 - 167202700233*x + 5535974600,0,,
14846004190*x**15 - 88539290222*x**14 - 180613988633*x**13 + 100166968182*x**12 - 77839702958*x**11 + 424210043595*x**10 + 1711099970937*x**9 - 561506098050*x**8 - 464093191656*x**7 - 806581938108*x**6 + 185469771685*x**5 - 1485247984458*x**4 + 569263056223*x**3 - 224197801551*x**2 - 222369098404*x - 103987699081,0,,
11912842543*x**15 + 278016055530*x**14 - 530659437096*x**13 + 263477204087*x**12 + 217204525942*x**11 + 151773095488*x**10 - 1320660872093*x**9 + 832700525425*x**8 + 13891396637*x**7 + 205528838383*x**6 + 1900459822785*x**5 - 1110553148960*x**4 - 132536938524*x**3 - 266685108343*x**2 - 254537313215*x + 13139374717,0,,
22330166311*x**15 - 529023366371*x**14 + 636950917246*x**13 - 960057747927*x**12 + 795747661354*x**11 + 618668607925*x**10 - 168667204293*x**9 - 56521051538*x**8 + 2402192495504*x**7 - 95670054157*x**6 - 704577000818*x**5 - 1905535872179*x**4 - 709244500118*x**3 - 138184985324*x**2 - 338380646030*x - 92758645646,0,,
21670101606*x**15 + 60417266339*x**14 + 212656209417*x**13 - 198359202393*x**12 + 1202004024922*x**11 - 371288464744*x**10 + 197163541027*x**9 + 1059070613723*x**8 + 1840839261374*x**7 + 570405889871*x**6 + 751799387392*x**5 + 932932906150*x**4 - 723972326148*x**3 + 255697251934*x**2 - 181744448634*x - 92021929056,0,,
7640034880*x**15 - 11296040*x**14 - 119537584371*x**13 - 183021508758*x**12 + 518733728591*x**11 + 1162510091490*x**10 - 1322286341185*x**9 - 2533198128856*x**8 - 862021864749*x**7 - 1888953869878*x**6 + 663819532135*x**5 - 62917966069*x**4 - 753125278851*x**3 - 241698884022*x**2 - 122403794359*x - 75107861186,0,,
-66027148639*x**15 - 326124138841*x**14 - 300657879481*x**13 - 394804117706*x**12 + 1158245796243*x**11 - 269357562359*x**10 - 562936460003*x**9 - 161895753259*x**8 - 1623125484430*x**7 - 1161315777116*x**6 - 422677649310*x**5 + 859635811402*x**4 + 232112842144*x**3 - 24128536735*x**2 - 148129958743*x + 51387116021,0,,
52826742014*x**15 - 99582239290*x**14 - 504293674044*x**13 + 581431188610*x**12 - 616384476478*x**11 - 1505100257116*x**10 - 1745135857617*x**9 - 1842037014762*x**8 + 1368074135928*x**7 + 2683521625209*x**6 - 60481348552*x**5 - 582773100870*x**4 - 1070769030777*x**3 - 565556347940*x**2 + 55114397502*x - 35979085052,0,,
-85257890684*x**15 + 462956199416*x**14 - 121941394810*x**13 - 884036447610*x**12 + 793132220425*x**11 + 853887753960*x**10 - 2786414958718*x**9 - 682054763792*x**8 - 1342458511987*x**7 - 1577396369959*x**6 - 392836490231*x**5 + 913862569040*x**4 - 811882539882*x**3 + 84127579045*x**2 + 213542266947*x + 11096544316,0,,
-7130197873*x**15 + 80402891147*x**14 - 408335660476*x**13 - 580676502672*x**12 - 936853896516*x**11 + 1909222124826*x**10 + 1583057033304*x**9 + 3840634530850*x**8 + 1980813048085*x**7 + 2702300299419*x**6 + 886270546436*x**5 - 2094240208049*x**4 + 778109666583*x**3 + 176336360289*x**2 + 152841468780*x - 40632672169,0,,
63722489224*x**15 - 134114997249*x**14 - 119413243684*x**13 + 1075775661860*x**12 + 106627708993*x**11 + 19118348233*x**10 + 2035260864207*x**9 - 1588425044334*x**8 + 658332260651*x**7 - 1750051964341*x**6 - 340654819524*x**5 + 514099114960*x**4 - 159395900469*x**3 - 710545981874*x**2 + 54509114611*x + 59577163323,0,,
26343464626*x**15 + 158769608340*x**14 - 432194437600*x**13 + 990721873145*x**12 - 318770935178*x**11 + 1802421857184*x**10 + 68775929760*x**9 - 2114505662202*x**8 + 1235455567508*x**7 + 189846101692*x**6 + 1203653244390*x**5 - 489768241599*x**4 - 149272337782*x**3 - 28437973015*x**2 - 53056461140*x + 47720052049,0,,
-91952135748*x**15 + 187719217747*x**14 - 148921146114*x**13 - 839179706413*x**12 - 1731196136773*x**11 + 1132404432877*x**10 + 497991238100*x**9 + 174461763452*x**8 + 2932764220651*x**7 - 2005264389655*x**6 + 647030442810*x**5 - 1239608337574*x**4 + 979241503070*x**3 + 555791449370*x**2 + 22444902215*x + 44132311220,0,,
13481067691*x**15 - 95605890153*x**14 + 264625040379*x**13 - 433324134083*x**12 + 336349493903*x**11 - 369969429894*x**10 + 1578190551497*x**9 + 612275493210*x**8 - 1282852591741*x**7 - 621356505592*x**6 - 1923187920192*x**5 - 76031191475*x**4 - 195423189158*x**3 + 321333442862*x**2 - 10936678573*x + 69602361948,0,,
-29319739476*x**15 - 28869380724*x**14 - 509353142358*x**13 - 384066282961*x**12 - 1016482779751*x**11 - 529019785206*x**10 - 2221376895195*x**9 + 158874861954*x**8 - 1596578948656*x**7 + 1520190363193*x**6 - 1416505782974*x**5 + 964177279280*x**4 - 732033440201*x**3 - 357709046607*x**2 + 200685412434*x - 7404580658,0,,
112933339523*x**15 + 111017351781*x**14 - 80510039086*x**13 - 832740710463*x**12 - 879338294208*x**11 - 611983948981*x**10 - 56496170837*x**9 - 765049243410*x**8 - 498090701963*x**7 - 611949084242*x**6 + 595457643619*x**5 + 955130252111*x**4 - 1030331363841*x**3 - 24285353982*x**2 - 63580276422*x - 96358691773,0,,
18401181868*x**15 - 61149995081*x**14 - 182520464812*x**13 + 346881146689*x**12 - 1523642848903*x**11 + 2250693089582*x**10 - 856173382890*x**9 - 523421168584*x**8 + 905022869818*x**7 + 96864209840*x**6 - 1626635756777*x**5 - 143580508765*x**4 - 506732874932*x**3 - 61625308659*x**2 - 21575465051*x + 994718378,0,,
-6200797161*x**15 - 95375538689*x**14 + 269194492480*x**13 + 24871687771*x**12 + 587783949531*x**11 - 2482524033612*x**10 + 174033447545*x**9 + 861679359588*x**8 - 555858503935*x**7 + 1700017110768*x**6 + 718762996194*x**5 - 933852861727*x**4 + 324243562664*x**3 + 232192359128*x**2 + 9127128435*x + 38293829873,0,,
-100243776525*x**15 + 82548005673*x**14 + 511532405481*x**13 + 1557764352918*x**12 + 1591283318535*x**11 - 121717786628*x**10 - 1952430464217*x**9 + 925729167288*x**8 + 1315539467413*x**7 - 579299898475*x**6 - 280217332996*x**5 - 206816975045*x**4 - 739409452114*x**3 - 675970982474*x**2 - 74626373008*x + 16614230109,0,,
-7009229502*x**15 - 134141954845*x**14 + 785019512618*x**13 - 415881104230*x**12 + 546111125503*x**11 - 244522961827*x**10 + 1508941227030*x**9 + 796673192338*x**8 + 551842661481*x**7 - 958881572754*x**6 + 834494915098*x**5 + 1123955273910*x**4 + 361572165101*x**3 + 720351899620*x**2 - 68919552629*x + 28127797104,0,,
-45579618042*x**15 + 368525623029*x**14 + 209464918301*x**13 - 752698339047*x**12 - 1208420539566*x**11 - 877148631159*x**10 + 5620789205610*x**9 - 314541722918*x**8 + 1044587647098*x**7 + 1464907305152*x**6 + 293628728356*x**5 - 308197278289*x**4 + 371132469638*x**3 - 132165546811*x**2 + 290878202462*x + 99715614554,0,,
71114499540*x**15 + 70931116871*x**14 - 574372781979*x**13 + 271622489854*x**12 + 158796370879*x**11 - 163517165484*x**10 + 889749599478*x**9 - 1059560521257*x**8 - 1520139859393*x**7 + 508852224439*x**6 + 1341101444929*x**5 + 1679593510255*x**4 - 552418045400*x**3 + 131939068168*x**2 + 237561732719*x - 70601622014,0,,
787588601*x**15 - 22339601490*x**14 + 101666740594*x**13 + 432830118906*x**12 - 552633898058*x**11 + 1122764810543*x**10 + 2078316691135*x**9 + 21404349069*x**8 - 231051176614*x**7 - 363861263234*x**6 - 160429984686*x**5 - 1467097032658*x**4 + 1251524812376*x**3 - 274632359934*x**2 + 64140888006*x - 26933791501,0,,
-36737054444*x**15 + 231039960412*x**14 + 160810102631*x**13 - 1183221578029*x**12 - 1210360369786*x**11 - 535943392537*x**10 - 733818122804*x**9 - 655867404810*x**8 - 489178856697*x**7 + 1436371078966*x**6 - 1073088100844*x**5 - 384076232127*x**4 - 377116017557*x**3 - 479376553530*x**2 + 44438786912*x + 104405412941,0,,
-85748812464*x**15 + 67717259733*x**14 + 56768660077*x**13 + 140566028623*x**12 - 371458333645*x**11 - 517664939619*x**10 - 410639792569*x**9 + 1203739263084*x**8 + 924382946681*x**7 + 1070939894541*x**6 + 772594915761*x**5 + 650498761017*x**4 - 375583843116*x**3 - 282587773007*x**2 - 220390927219*x + 19163817303,0,,
-58339396243*x**15 - 39340668502*x**14 - 101073711119*x**13 - 116020588870*x**12 + 1375599200490*x**11 + 1950431439602*x**10 - 493695110615*x**9 + 933955631771*x**8 - 197764934397*x**7 + 1517459626007*x**6 + 986372484014*x**5 - 1191630807567*x**4 - 130609347533*x**3 + 300525315687*x**2 - 18192760979*x + 30518772477,0,,
-14942509056*x**15 - 195419568939*x**14 - 931937102958*x**13 + 100363648473*x**12 - 580460109909*x**11 + 811251832880*x**10 + 144187930281*x**9 + 945549461794*x**8 + 2520077442794*x**7 + 96864703154*x**6 - 237829296282*x**5 + 847663713931*x**4 - 680540908868*x**3 - 556622623917*x**2 + 195740693550*x - 103804765037,0,,
25145230948*x**15 + 430367802791*x**14 + 199025572899*x**13 + 289371961273*x**12 - 24918905731*x**11 - 508414143076*x**10 + 2519872748533*x**9 + 968451537763*x**8 + 2127116193378*x**7 + 20179532350*x**6 - 1044250939230*x**5 + 167466567478*x**4 - 1260754118889*x**3 - 18804209418*x**2 + 38736690833*x + 41920758186,0,,
11946796364*x**15 + 70187690252*x**14 + 286414027301*x**13 + 4801935589*x**12 - 1081757504675*x**11 - 1811654143287*x**10 - 1498814072912*x**9 - 1172605652135*x**8 + 653697121872*x**7 - 2058972638883*x**6 - 776220219459*x**5 + 1642176011031*x**4 + 619919613972*x**3 + 692786459590*x**2 - 90931618218*x + 103490715478,0,,
134087627710*x**15 + 167699250896*x**14 + 132690186967*x**13 - 581277696785*x**12 - 529495868578*x**11 + 300845033120*x**10 + 847306304559*x**9 + 1357893249156*x**8 - 1321518294893*x**7 + 1041309439325*x**6 - 783010236193*x**5 - 341141792912*x**4 - 544772483927*x**3 - 687846118480*x**2 - 72881797199*x - 67661732084,0,,
140577002683*x**15 + 864119836*x**14 - 183462288778*x**13 - 305144955772*x**12 - 283944119128*x**11 - 536576088222*x**10 - 918277967665*x**9 + 793799786864*x**8 - 1507610766883*x**7 - 579158362351*x**6 - 1453317013560*x**5 + 359621376259*x**4 + 203068333640*x**3 + 433807957409*x**2 - 79819730344*x - 137215534394,0,,
124797069883*x**15 + 187115171030*x**14 - 79069801880*x**13 - 832525870604*x**12 - 619109036718*x**11 + 212428829258*x**10 - 2429988428974*x**9 + 2312137613975*x**8 + 15908759364*x**7 + 1322642878500*x**6 - 142714176153*x**5 - 265390041365*x**4 - 126168923079*x**3 - 44778845579*x**2 + 465356713288*x - 8986329062,0,,
38269522705*x**15 + 62366397810*x**14 - 366913199561*x**13 + 1467215240266*x**12 + 1687386099075*x**11 + 467206231452*x**10 + 95879194189*x**9 + 2811772856432*x**8 - 613413895789*x**7 - 895499965801*x**6 - 1389695281273*x**5 - 157694746092*x**4 - 487117791608*x**3 + 172571544087*x**2 + 70441479989*x + 22641908642,0,,
-36127425097*x**15 - 160293713084*x**14 + 359407469896*x**13 - 292002149331*x**12 + 1300816646370*x**11 + 511827858960*x**10 - 1386582220369*x**9 + 2053421983757*x**8 - 2952749791268*x**7 + 1078053759980*x**6 - 356698806560*x**5 - 43885126139*x**4 + 983927109053*x**3 + 647370802491*x**2 + 116530497854*x - 88869353510,0,,
35670834551*x**15 + 112906181875*x**14 + 62751142605*x**13 - 652049218459*x**12 + 152197999427*x**11 + 1810517905628*x**10 + 358338166585*x**9 + 2564389183209*x**8 + 3535791496561*x**7 + 1809011513278*x**6 + 57194546156*x**5 - 1360556836483*x**4 - 44127831609*x**3 + 77845172104*x**2 - 64197253968*x - 78023978092,0,,
151582150857*x**15 - 436544357086*x**14 + 97664521611*x**13 - 347492020538*x**12 - 21927559479*x**11 + 575983311338*x**10 + 253789828229*x**9 - 344633960067*x**8 - 1224553206706*x**7 - 353564712607*x**6 + 949587316345*x**5 + 354384035718*x**4 + 409311070266*x**3 + 409359869175*x**2 - 132606978436*x + 17659035577,0,,
-26687258568*x**15 + 11823298577*x**14 - 49591853195*x**13 + 470946660241*x**12 + 268939002682*x**11 + 257549266756*x**10 + 3037343493789*x**9 + 366123929931*x**8 + 1939577425444*x**7 + 1283379998102*x**6 - 1018791443198*x**5 - 1305567079657*x**4 - 260434648989*x**3 - 510469426745*x**2 + 63007021575*x + 32591922524,0,,
8330221288*x**15 + 7287237887*x**14 - 12894800385*x**13 + 449191503682*x**12 + 1884400489814*x**11 + 1334793139183*x**10 - 74069277525*x**9 - 321319726407*x**8 + 472884434958*x**7 + 800789699040*x**6 - 1802575364837*x**5 + 231827619061*x**4 - 62742838144*x**3 - 617397830278*x**2 - 111892480696*x - 26436059582,0,,
-29256569650*x**15 + 115185092559*x**14 + 95153331813*x**13 + 543889646572*x**12 + 791386432440*x**11 - 798672148435*x**10 - 1169757823276*x**9 + 422826511804*x**8 - 2879199012317*x**7 - 187204156521*x**6 + 824139670910*x**5 - 668719271640*x**4 - 77666501154*x**3 - 386942967778*x**2 - 151644099060*x + 54530109817,0,,
-36274274663*x**15 + 3306133770*x**14 - 99226171030*x**13 - 1369799250951*x**12 + 829996650217*x**11 + 875137182596*x**10 - 1545077165870*x**9 - 3765342005510*x**8 - 1167959063806*x**7 + 1642934332991*x**6 + 958152451449*x**5 - 315664306767*x**4 - 23635452088*x**3 - 171082811800*x**2 - 47821243739*x + 23290824595,0,,
4874727433*x**15 - 65709340953*x**14 + 115039133998*x**13 + 600288546859*x**12 - 1091422045920*x**11 - 517205841245*x**10 - 604030169455*x**9 + 2301868327174*x**8 + 1696513276037*x**7 - 316669410836*x**6 + 3490229501892*x**5 - 384875528344*x**4 - 1091730278176*x**3 + 206816453790*x**2 - 270817576181*x + 65359825703,0,,
-60275459653*x**15 - 348975535783*x**14 - 489108608305*x**13 + 452165375620*x**12 + 1109256553949*x**11 - 777356631401*x**10 - 2316872172733*x**9 - 474416907758*x**8 + 495513634289*x**7 + 1730364525790*x**6 + 1033523161046*x**5 - 617396595423*x**4 - 211073095868*x**3 - 283167580367*x**2 + 198421758241*x - 46254595334,0,,
51640922197*x**15 - 326493220572*x**14 - 219056967710*x**13 - 1122969026089*x**12 - 154705788778*x**11 + 2274643868*x**10 + 1393117807180*x**9 - 871786383120*x**8 - 2766745437040*x**7 - 358424905888*x**6 + 531916282560*x**5 - 63559538325*x**4 - 360286663079*x**3 - 8288548580*x**2 + 54520452058*x + 55660374156,0,,
9128812331*x**15 + 299209646075*x**14 - 12234897841*x**13 - 267731284923*x**12 - 1412594679453*x**11 + 775496845263*x**10 - 732276866172*x**9 - 705614365531*x**8 - 229118216759*x**7 - 130336648749*x**6 + 1040305347091*x**5 + 332141608280*x**4 + 953648989409*x**3 + 641565184027*x**2 - 39478980355*x + 27090351275,0,,
31780424345*x**15 - 39214322347*x**14 + 847170466598*x**13 - 686783426718*x**12 - 801791777364*x**11 - 31478690028*x**10 - 1019664339252*x**9 - 85004900851*x**8 + 728308853009*x**7 - 690055198507*x**6 - 427682288362*x**5 + 1384722492682*x**4 + 81920792446*x**3 + 313278449965*x**2 + 312423082718*x + 34219218292,0,,
96387033314*x**15 - 144814495321*x**14 + 94412253716*x**13 - 1114087859089*x**12 - 1044016316413*x**11 - 361472437800*x**10 + 4513262658151*x**9 + 2663603083833*x**8 + 31075889261*x**7 + 1717838324353*x**6 - 121054924969*x**5 + 672170123707*x**4 + 834684300145*x**3 + 482301148159*x**2 - 25795566592*x - 43415934030,0,,
-36452151830*x**15 - 120297298172*x**14 + 403392596578*x**13 - 117056480750*x**12 + 257212143982*x**11 + 1949049565312*x**10 + 342404067531*x**9 - 352551172142*x**8 - 247993482707*x**7 + 1689164845180*x**6 - 359540854857*x**5 - 182507510298*x**4 + 925835397388*x**3 - 14797763940*x**2 + 272608574167*x + 16834445559,0,,
44442213322*x**15 + 120099350252*x**14 - 256886791064*x**13 + 218068627993*x**12 + 439821439500*x**11 - 534501484833*x**10 + 399008755281*x**9 - 1402516415429*x**8 - 444011677962*x**7 + 1391780408261*x**6 - 631612973084*x**5 + 671472206238*x**4 + 692258355584*x**3 + 264427973206*x**2 + 63155115244*x + 1798963269,0,,
-40310066993*x**15 + 152523637538*x**14 - 206410670187*x**13 + 334829766551*x**12 + 276384786493*x**11 - 508658104365*x**10 - 1508041280980*x**9 + 2581355737432*x**8 - 53720920112*x**7 - 816361829675*x**6 - 1982554194088*x**5 + 181488661170*x**4 + 324636024584*x**3 + 448688456538*x**2 - 240141221407*x + 54989074157,0,,
65050371760*x**15 + 223661205229*x**14 - 28202655753*x**13 + 81214171414*x**12 + 1840813433970*x**11 + 1420721316647*x**10 - 728461813278*x**9 - 898921690116*x**8 + 11416479899*x**7 + 590743988900*x**6 + 1495476253753*x**5 - 117914311431*x**4 - 161703679877*x**3 - 465447998928*x**2 + 51944224647*x + 9607335213,0,,
-22532301784*x**15 - 300512234429*x**14 - 114283948854*x**13 - 247121992804*x**12 + 777051705385*x**11 - 1397719747378*x**10 + 462271015293*x**9 - 1980925003859*x**8 - 190120794465*x**7 - 193828035178*x**6 - 164402645138*x**5 - 356334052545*x**4 + 498304575107*x**3 - 369032110488*x**2 + 2500954440*x - 77276427604,0,,
